time,x,y,theta,curvature
1761412679.8546124,0.0037633491657518294,-0.007902957452821975,0.0008530844493885454,0.0
1761412693.1581538,0.9215067639698877,-0.02261675816147967,-0.024791409641682662,-0.0889519575360736
1761412700.0569143,2.9081817906419336,-0.9120099577286098,-0.2635012446323626,0.36511669148320586
1761412722.2560954,9.916372210295195,-1.6136530979807409,-0.1233535791197229,-0.1495093576145528
1761412734.7545927,13.631309675464363,-3.0068578818224028,-0.3226467522550477,0.43639653169921594
1761412751.2571158,16.872993203618762,-3.6735172607828646,-0.17506889577381768,0.42603849262606497
1761412758.6575778,19.209068269472954,-3.8660825850042118,0.08038605663940313,0.5840676742946687
1761412761.2563593,19.936091797638056,-3.5441892027424986,0.6039425939412681,0.865222864635377
1761412764.2551768,20.432908826508243,-2.73784242333141,1.1923150410755154,0.6810290427112043
1761412798.9538472,21.86091074068135,8.176763031529891,1.481105454691425,0.13415549684963163
1761412818.153875,22.101890346042367,14.244606606723032,1.4923968481332146,-0.021371799405899197
1761412855.053036,23.51929054115867,25.860888548051104,1.4585677778203423,0.09350121685473319
1761412865.9525611,23.590796878863955,29.31465633290332,1.5200040211441825,-0.02927524067350939
1761412879.6538801,24.065964539955328,33.65379766491437,1.4518143171264506,0.2519115934251067
1761412894.7557034,24.315211869382853,38.43959554168456,1.4655903342318612,-0.026760140704585652
1761412911.9556382,25.089732146054164,43.84323779210695,1.4353807645712178,0.040622363556331594
1761412923.854802,25.365161679712514,47.60180034413565,1.4598306511675039,-0.02942201517187064
1761412947.1557713,26.346181865960745,54.92504600455505,1.4129251411368071,0.15438110471336508
1761412980.5568204,27.277890416025162,65.48447447590719,1.4856969081421882,-0.016655526778203516
1761413034.5571837,28.98705765518932,81.25354811927984,1.4834207410720195,0.26167843077477554
1761413039.5572696,28.65743108073065,82.780784556185,2.0097635067634263,0.5572309543191063
1761413041.9579108,28.16425358152559,83.3365384818757,2.414463546142616,0.5179301464975419
1761413044.2561522,27.51626276557029,83.62407020673241,2.896128599120875,0.7638453370843069
1761413058.6588833,22.96779915010879,84.06499551901265,3.07000563937355,0.041005448832502685
1761413071.6576774,18.867100691744056,84.22392220778411,-3.0118594248235846,0.22310647148022777
1761413076.657711,17.365769853293397,83.7506729442661,-2.7392086462101943,0.1922055146825587
1761413088.8569777,13.911447456047755,81.99512570045458,-2.596662898420594,0.4665024067154023
1761413094.3571022,12.60180402719379,80.85608102556287,-2.3669381093873865,0.4316102974016568
1761413097.4570572,12.196503945611052,79.96149134458784,-1.910053724686983,0.15052943104979877
1761413112.158433,11.798313295265237,75.32434385081332,-1.6809335360121136,-0.03515759433445041
1761413125.0564415,11.10284935858774,71.2870646314596,-1.7159054696679656,0.20985044946514073
1761413136.1544175,10.820693505944412,67.78129638928236,-1.6985351357051397,-0.03379050226240009
1761413149.8536246,10.232046314915284,63.47388208939223,-1.6935915462574034,0.011356668886915293
1761413201.9534764,8.682046496364372,47.005362443831565,-1.663720473276575,-0.02680954327451199
1761413235.5566216,7.448157304785142,36.40075633765792,-1.6982017260495994,0.07768480332962133
1761413251.5548317,7.193331250002874,32.811279156623115,-1.6411763994572655,0.1865764528130307
1761413261.2547262,7.381041734698721,29.749625586417494,-1.5455102018656024,-0.027853560283324745
1761413267.6549811,7.331781963402492,27.71099707479419,-1.6689171158753546,-0.16283149439186262
1761413312.753863,5.286545368688482,13.512436561129844,-1.7248189208372138,0.10348367292963616
1761413332.8569129,4.669834766065462,7.19206176626726,-1.6417471171320457,0.11392988002555378
1761413335.9567409,4.8980250339579845,6.261845658217465,-1.173298396914038,0.8109781095847619
1761413338.5564544,5.481650538925304,5.666610880154178,-0.5749916388204702,1.1608649853992112
1761413349.255385,8.848542099673736,5.346816858893204,-0.09157737533668735,-0.13767027226325287
1761413352.3531857,9.70257514839353,4.854740769197018,-0.6440223398101125,-0.6875031116857117
1761413354.6539395,10.103475309762445,4.253284807484679,-1.159618462821759,-1.463609911741989
1761413365.1563191,10.14356278619745,0.9077184109379449,-1.6564213034220119,-0.18911517763506172
1761413369.9565632,9.282619441808631,-0.35363393156531103,-2.399317375007472,-0.46838143017342904
1761413375.5567813,7.6426331899990885,-1.0200036807318305,-2.8591385726226726,-0.07253523744821504
1761413396.557822,1.01010429957587,-1.650098813828436,-3.1195551133922037,-0.02348633848570587
